X,Y,OBJECTID,BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,NUTS1,NUTS2,NUTS3,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ,N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_1_OU_2_PISOS,N_EDIFICIOS_3_OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1945,N_EDIFICIOS_CONSTR_1946_1980,N_EDIFICIOS_CONSTR_1981_2000,N_EDIFICIOS_CONSTR_2001_2010,N_EDIFICIOS_CONSTR_2011_2021,N_EDIFICIOS_COM_NECESSIDADES_REPARACAO,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASS_RHABITUAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA,N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS,N_RHABITUAL_COM_ESTACIONAMENTO,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_AGREGADOS_DOMESTICOS_PRIVADOS,N_ADP_1_OU_2_PESSOAS,N_ADP_3_OU_MAIS_PESSOAS,N_NUCLEOS_FAMILIARES,N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25,N_INDIVIDUOS,N_INDIVIDUOS_H,N_INDIVIDUOS_M,N_INDIVIDUOS_0_14,N_INDIVIDUOS_15_24,N_INDIVIDUOS_25_64,N_INDIVIDUOS_65_OU_MAIS,SHAPE_Length,SHAPE_Area
-86845.4319470349,-103281.127700083,30243,11065602301,11,1106,110656,110656023,023,01,02301,11065602301,1,17,170,15,1,14,12,1,14,10,4,0,1,0,4,114,114,84,30,2,4,30,45,84,52,32,39,15,202,106,96,14,31,127,30,409.85326750074,9657.76694254511
-88244.7298182795,-103255.76314998,30244,11065700203,11,1106,110657,110657002,002,03,00203,11065700203,1,17,170,10,0,9,7,0,10,9,0,0,0,1,1,93,92,63,29,21,11,18,38,63,40,23,35,22,197,75,122,26,24,85,62,368.048568602576,8445.22672755078
-94468.2796734087,-107055.368449987,30311,11065801011,11,1106,110658,110658010,010,11,01011,11065801011,1,17,170,8,8,0,8,6,2,0,4,1,3,0,0,8,8,6,2,3,4,4,2,6,1,5,5,4,21,12,9,4,5,9,3,239.674581933322,2582.4121268247
-94597.2148849547,-107032.587699114,30312,11065801012,11,1106,110658,110658010,010,12,01012,11065801012,1,17,170,8,8,0,8,8,0,0,8,0,0,0,0,8,8,7,1,3,7,6,1,7,4,3,6,3,20,8,12,4,2,7,7,250.811945221572,3077.84491946759
-94485.05521572,-107032.749199984,30313,11065801013,11,1106,110658,110658010,010,13,01013,11065801013,1,17,170,8,8,0,8,8,0,0,8,0,0,0,0,8,8,7,1,2,6,6,1,7,3,4,7,5,22,9,13,7,3,8,4,238.956180719658,2555.62056236235
-84752.6904646534,-103513.818600094,30609,11060701205,11,1106,110607,110607012,012,05,01205,11060701205,1,17,170,37,15,22,35,31,6,28,5,3,0,1,19,124,124,82,42,11,15,34,36,82,55,27,51,28,178,92,86,17,24,109,28,1253.52669662275,70031.8724482896
-87408.1157895431,-103346.275200595,30610,11065602601,11,1106,110656,110656026,026,01,02601,11065602601,1,17,170,28,7,21,26,6,22,16,12,0,0,0,1,134,134,98,36,5,4,32,58,98,78,20,44,23,195,82,113,23,19,114,39,347.167632823265,7234.54924575312
-90278.4694803808,-103279.89694988,30611,11061000601,11,1106,110610,110610006,006,01,00601,11061000601,1,17,170,8,8,0,8,8,0,5,0,0,2,1,1,8,8,6,2,2,5,5,0,6,4,2,4,2,12,5,7,0,3,8,1,185.909696442856,2017.71373732775
-88182.5641771764,-103304.847749721,30612,11065700110,11,1106,110657,110657001,001,10,00110,11065700110,1,17,170,3,0,3,3,0,3,0,2,1,0,0,1,27,27,20,7,6,6,13,6,20,16,4,8,2,42,17,25,2,6,22,12,312.683087692703,4894.34170542394
-89602.7317119733,-103332.244349723,30613,11061001305,11,1106,110610,110610013,013,05,01305,11061001305,1,17,170,7,2,5,7,2,5,0,6,1,0,0,0,55,55,42,13,8,2,19,19,42,32,10,21,6,87,44,43,14,8,46,19,607.943671145187,21791.3228713346
-87853.4476412137,-103326.712149835,30614,11065601903,11,1106,110656,110656019,019,03,01903,11065601903,1,17,170,8,0,8,4,0,8,1,5,1,1,0,2,78,78,59,19,5,14,36,18,59,42,17,32,15,122,55,67,15,11,70,26,497.944454115019,12351.4770885403
-88373.2175737655,-103298.656900442,30615,11065700202,11,1106,110657,110657002,002,02,00202,11065700202,1,17,170,11,2,9,10,0,11,10,1,0,0,0,3,56,56,43,13,5,6,18,24,43,29,14,26,14,101,48,53,13,12,53,23,405.249601422347,10256.9995989913
-84409.295141618,-104004.843499263,30616,11060701206,11,1106,110607,110607012,012,06,01206,11060701206,1,17,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4213.88731687319,1012975.99609938
-86510.7231986161,-103328.382649994,30617,11066301701,11,1106,110663,110663017,017,01,01701,11066301701,1,17,170,32,3,29,28,5,27,17,11,0,4,0,15,165,165,130,35,5,7,33,91,130,99,31,66,29,276,142,134,21,36,167,52,412.072726087812,7851.39336658186
