"","N_EDIFICIOS_CLASSICOS","N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ","N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS","N_EDIFICIOS_EXCLUSIV_RESID","N_EDIFICIOS_1_OU_2_PISOS","N_EDIFICIOS_3_OU_MAIS_PISOS","N_EDIFICIOS_CONSTR_ANTES_1945","N_EDIFICIOS_CONSTR_1946_1980","N_EDIFICIOS_CONSTR_1981_2000","N_EDIFICIOS_CONSTR_2001_2010","N_EDIFICIOS_CONSTR_2011_2021","N_EDIFICIOS_COM_NECESSIDADES_REPARACAO","N_ALOJAMENTOS_TOTAL","N_ALOJAMENTOS_FAMILIARES","N_ALOJAMENTOS_FAM_CLASS_RHABITUAL","N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA","N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS","N_RHABITUAL_COM_ESTACIONAMENTO","N_RHABITUAL_PROP_OCUP","N_RHABITUAL_ARRENDADOS","N_AGREGADOS_DOMESTICOS_PRIVADOS","N_ADP_1_OU_2_PESSOAS","N_ADP_3_OU_MAIS_PESSOAS","N_NUCLEOS_FAMILIARES","N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25","N_INDIVIDUOS","N_INDIVIDUOS_H","N_INDIVIDUOS_M","N_INDIVIDUOS_0_14","N_INDIVIDUOS_15_24","N_INDIVIDUOS_25_64","N_INDIVIDUOS_65_OU_MAIS","postal_code"
"1",15,1,14,12,1,14,10,4,0,1,0,4,114,114,84,30,2,4,30,45,84,52,32,39,15,202,106,96,14,31,127,30,"1170-193"
"2",10,0,9,7,0,10,9,0,0,0,1,1,93,92,63,29,21,11,18,38,63,40,23,35,22,197,75,122,26,24,85,62,"1050-180"
"3",8,8,0,8,6,2,0,4,1,3,0,0,8,8,6,2,3,4,4,2,6,1,5,5,4,21,12,9,4,5,9,3,"1400-139"
"4",8,8,0,8,8,0,0,8,0,0,0,0,8,8,7,1,3,7,6,1,7,4,3,6,3,20,8,12,4,2,7,7,"1400"
"5",8,8,0,8,8,0,0,8,0,0,0,0,8,8,7,1,2,6,6,1,7,3,4,7,5,22,9,13,7,3,8,4,"1400-139"
"6",37,15,22,35,31,6,28,5,3,0,1,19,124,124,82,42,11,15,34,36,82,55,27,51,28,178,92,86,17,24,109,28,"1950-147"
"7",28,7,21,26,6,22,16,12,0,0,0,1,134,134,98,36,5,4,32,58,98,78,20,44,23,195,82,113,23,19,114,39,"1000-243"
"8",8,8,0,8,8,0,5,0,0,2,1,1,8,8,6,2,2,5,5,0,6,4,2,4,2,12,5,7,0,3,8,1,"1070-181"
"9",3,0,3,3,0,3,0,2,1,0,0,1,27,27,20,7,6,6,13,6,20,16,4,8,2,42,17,25,2,6,22,12,"1050-180"
"10",7,2,5,7,2,5,0,6,1,0,0,0,55,55,42,13,8,2,19,19,42,32,10,21,6,87,44,43,14,8,46,19,"1070-034"
"11",8,0,8,4,0,8,1,5,1,1,0,2,78,78,59,19,5,14,36,18,59,42,17,32,15,122,55,67,15,11,70,26,"1000-093"
"12",11,2,9,10,0,11,10,1,0,0,0,3,56,56,43,13,5,6,18,24,43,29,14,26,14,101,48,53,13,12,53,23,"1050-000"
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1950-408"
