"","postal_code","N_EDIFICIOS_CLASSICOS","N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ","N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS","N_EDIFICIOS_EXCLUSIV_RESID","N_EDIFICIOS_1_OU_2_PISOS","N_EDIFICIOS_3_OU_MAIS_PISOS","N_EDIFICIOS_CONSTR_ANTES_1945","N_EDIFICIOS_CONSTR_1946_1980","N_EDIFICIOS_CONSTR_1981_2000","N_EDIFICIOS_CONSTR_2001_2010","N_EDIFICIOS_CONSTR_2011_2021","N_EDIFICIOS_COM_NECESSIDADES_REPARACAO","N_ALOJAMENTOS_TOTAL","N_ALOJAMENTOS_FAMILIARES","N_ALOJAMENTOS_FAM_CLASS_RHABITUAL","N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA","N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS","N_RHABITUAL_COM_ESTACIONAMENTO","N_RHABITUAL_PROP_OCUP","N_RHABITUAL_ARRENDADOS","N_AGREGADOS_DOMESTICOS_PRIVADOS","N_ADP_1_OU_2_PESSOAS","N_ADP_3_OU_MAIS_PESSOAS","N_NUCLEOS_FAMILIARES","N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25","N_INDIVIDUOS","N_INDIVIDUOS_H","N_INDIVIDUOS_M","N_INDIVIDUOS_0_14","N_INDIVIDUOS_15_24","N_INDIVIDUOS_25_64","N_INDIVIDUOS_65_OU_MAIS"
"1","1000",1760,276,1458,1444,215,1545,658,958,82,39,23,510,13868,13844,10264,3579,1454,1235,4681,4630,10273,6979,3294,5799,2873,22944,10397,12547,3064,2400,12291,5189
"2","1048",29,2,27,23,2,27,4,11,10,1,3,15,268,268,216,52,61,55,112,87,216,145,71,132,67,501,243,258,73,56,270,102
"3","1049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","1050",841,92,728,639,54,787,270,407,55,79,30,269,6889,6870,4738,2131,1260,1384,2357,1942,4748,3295,1453,2653,1271,10692,4951,5741,1346,1119,5665,2562
"5","1051",24,5,19,22,3,21,10,10,1,2,1,10,170,170,109,61,28,29,56,43,109,64,45,63,37,273,124,149,48,32,141,52
"6","1069",29,0,29,18,0,29,6,14,6,1,2,4,442,442,287,155,173,186,157,97,287,213,74,170,67,597,290,307,74,53,320,150
"7","1070",2524,1386,1119,2368,1452,1072,956,1255,162,114,37,1220,11292,11275,8228,3047,1867,1813,3794,3791,8236,5714,2522,4779,2284,18093,8284,9809,2276,1824,9639,4354
"8","1071",32,3,29,24,3,29,14,14,2,1,1,7,318,318,205,113,25,36,67,118,205,167,38,104,31,379,170,209,28,23,234,94
"9","1099",175,146,27,168,127,48,12,128,30,5,0,89,418,409,309,100,34,57,77,217,309,197,112,188,110,1131,720,411,108,114,711,198
"10","1100",2543,840,1678,1799,829,1714,2056,313,97,54,23,1268,9446,9425,5786,3639,482,249,1401,4035,5793,4327,1466,2737,1093,12408,6752,5656,1118,1058,7675,2557
"11","1149",1,0,1,1,0,1,1,0,0,0,0,0,3,3,3,0,1,0,1,1,3,2,1,2,1,6,3,3,0,1,5,0
"12","1150",1750,238,1483,1355,204,1546,1015,600,68,39,28,542,10866,10841,7425,3411,809,656,2828,4038,7445,5329,2116,3808,1595,16302,8142,8160,1657,1482,9989,3174
"13","1169",241,44,194,189,37,204,177,43,10,8,3,83,1373,1371,915,455,121,157,357,480,917,651,266,459,205,1966,1009,957,216,185,1196,369
"14","1170",3099,718,2358,2682,823,2276,1725,1156,119,73,26,1286,19145,19124,14013,5106,1846,1624,5681,7405,14024,10171,3853,7542,3228,29796,14145,15651,3071,2644,17428,6653
"15","1199",156,58,95,141,63,93,92,41,22,0,1,64,829,826,583,242,92,105,251,276,584,427,157,314,134,1261,579,682,136,98,765,262
"16","1200",3708,806,2879,2734,549,3159,2707,687,128,95,91,1425,16158,16140,9872,6266,1115,1295,3636,5522,9889,7279,2610,5057,2318,20508,9868,10640,2513,1934,11512,4549
"17","1249",349,112,233,257,87,262,257,49,11,14,18,147,1613,1609,1119,490,148,204,429,593,1120,823,297,586,276,2336,1090,1246,324,202,1271,539
"18","1250",1700,528,1155,1420,455,1245,1057,438,73,71,61,656,8853,8836,6075,2761,1014,1072,2594,2986,6078,4287,1791,3317,1634,13333,6193,7140,1811,1334,7078,3110
"19","1257",17,2,15,16,1,16,10,7,0,0,0,12,102,102,75,27,5,27,26,38,75,57,18,41,14,146,67,79,15,9,82,40
"20","1269",29,13,16,20,14,15,25,3,1,0,0,16,88,88,60,28,3,7,23,30,60,44,16,29,11,122,57,65,17,9,62,34
"21","1300",3552,1604,1941,3322,1726,1826,1872,1277,202,114,87,1652,17123,17116,12750,4359,2149,1671,5073,6909,12757,9116,3641,7365,3304,26913,12229,14684,3418,2430,14225,6840
"22","1349",559,436,119,543,413,146,178,325,23,22,11,186,1585,1581,1157,415,196,193,507,576,1166,796,370,728,334,2628,1192,1436,356,255,1297,720
"23","1350",2070,680,1379,1903,738,1332,867,971,112,76,44,1124,12187,12175,9152,3019,1464,1326,3880,4624,9463,6759,2704,5269,2619,20096,8981,11115,2914,1899,10577,4706
"24","1399",25,4,20,21,4,21,8,9,4,4,0,1,189,188,141,45,44,32,60,63,143,90,53,94,44,366,167,199,64,55,179,68
"25","1400",3082,2410,656,3001,1834,1248,472,1981,326,241,62,719,8838,8823,6881,1941,2200,2858,4330,2022,6882,4436,2446,4439,2229,16203,7477,8726,2437,1712,7850,4204
