"name","datetime","temp","feelslike","dew","humidity","precip","precipprob","preciptype","snow","snowdepth","windgust","windspeed","winddir","sealevelpressure","cloudcover","visibility","solarradiation","solarenergy","uvindex","severerisk","conditions","icon","stations"
"Lisbon","2023-01-01T00:00:00",17,17,15,87.75,0,0,"",0,0,27,22.5,185,1020.1,37.3,10.3,0,0,0,10,"Partially cloudy","partly-cloudy-night","08534099999,08536099999,LPPT"
"Lisbon","2023-01-01T01:00:00",17,17,14.9,87.13,0,0,"rain",0,0,29.2,22.3,178,1020,27.9,10,0,0,0,10,"Partially cloudy","partly-cloudy-night","08534099999,08536099999,LPPT"
"Lisbon","2023-01-01T02:00:00",16.2,16.2,14.9,91.92,0,0,"rain",0,0,31,22.6,178,1019,27.9,10,0,0,0,10,"Partially cloudy","partly-cloudy-night","08534099999,08536099999,LPPT"
"Lisbon","2023-01-01T03:00:00",17.1,17.1,14.8,86.35,0,0,"rain",0,0,34.2,22.8,177,1019,37.3,10.8,0,0,0,10,"Partially cloudy","partly-cloudy-night","08534099999,08536099999,LPPT"
"Lisbon","2023-01-01T04:00:00",17.2,17.2,14,81.69,0,0,"rain",0,0,34.9,26.2,178,1018.8,27.9,10,0,0,0,10,"Partially cloudy","partly-cloudy-night","08534099999,08536099999,LPPT"
"Lisbon","2023-01-01T05:00:00",17,17,14.9,87.13,0,0,"rain",0,0,35.6,25.9,178,1018,27.9,10,0,0,0,10,"Partially cloudy","partly-cloudy-night","08534099999,08536099999,LPPT"
"Lisbon","2023-01-01T06:00:00",17.1,17.1,14.7,86,0,0,"rain",0,0,35.6,26.4,180,1018.1,32.6,10.8,0,0,0,10,"Partially cloudy","partly-cloudy-night","08534099999,08536099999,LPPT"
"Lisbon","2023-01-01T07:00:00",17.2,17.2,14.7,85.4,0,0,"",0,0,36.4,23.2,178,1018,27.9,10,0,0,0,10,"Partially cloudy","partly-cloudy-night","08534099999,08536099999,LPPT"
"Lisbon","2023-01-01T08:00:00",17.2,17.2,14.9,86.27,0,0,"",0,0,36.4,23.5,170,1018,27.9,10,0,0,0,10,"Partially cloudy","partly-cloudy-day","08534099999,08536099999,LPPT"
"Lisbon","2023-01-01T09:00:00",17.1,17.1,15.9,92.91,0.2,100,"rain",0,0,37.4,24.3,178,1018.1,37.3,10.8,12,0,0,10,"Rain, Partially cloudy","rain","08534099999,08536099999,LPPT"
"Lisbon","2023-01-01T10:00:00",18,18,16,88.1,0,0,"",0,0,42.8,24.4,188,1018,27.9,10,26,0.1,0,10,"Partially cloudy","partly-cloudy-day","08534099999,08536099999,LPPT"
"Lisbon","2023-01-01T11:00:00",18.2,18.2,16,87.24,0,0,"rain",0,0,55.8,32.6,198,1018,79.7,10,54,0.2,1,10,"Partially cloudy","partly-cloudy-day","08534099999,08536099999,LPPT"
"Lisbon","2023-01-01T12:00:00",18.1,18.1,16.1,87.84,0,0,"rain",0,0,51.5,36.7,190,1018,90.7,10.8,73,0.3,1,10,"Overcast","cloudy","08534099999,08536099999,LPPT"
"Lisbon","2023-01-01T13:00:00",18,18,17,93.88,0,0,"rain",0,0,49.7,35.3,190,1017,89.2,8.3,49,0.2,0,10,"Partially cloudy","partly-cloudy-day","08534099999,08536099999,LPPT"
"Lisbon","2023-01-01T14:00:00",18.2,18.2,16.3,89,0,0,"rain",0,0,64.8,38.9,200,1016,89.2,8.2,53,0.2,1,10,"Partially cloudy","partly-cloudy-day","08534099999,08536099999,LPPT"
"Lisbon","2023-01-01T15:00:00",15,15,14,93.46,0,0,"rain",0,0,47.2,32.7,222,1016.1,57.9,5.8,34,0.1,0,10,"Partially cloudy","partly-cloudy-day","08534099999,08536099999,LPPT"
"Lisbon","2023-01-01T16:00:00",15.2,15.2,15.2,100,0,0,"rain",0,0,54.4,26.9,228,1016,89.2,6.7,5,0,0,10,"Partially cloudy","partly-cloudy-day","08534099999,08536099999,LPPT"
"Lisbon","2023-01-01T17:00:00",15.2,15.2,14.3,94.71,0,0,"rain",0,0,57.2,22.3,282,1016.8,56.3,8.4,6,0,0,10,"Partially cloudy","partly-cloudy-day","08534099999,08536099999,LPPT"
"Lisbon","2023-01-01T18:00:00",14.1,14.1,13.2,94.38,0,0,"",0,0,30.2,15.7,297,1018,56.3,9.7,0,0,0,10,"Partially cloudy","partly-cloudy-night","08534099999,08536099999,LPPT"
"Lisbon","2023-01-01T19:00:00",13.2,13.2,12.2,93.66,0,0,"",0,0,19.4,10.2,310,1019,50,10,0,0,0,10,"Partially cloudy","partly-cloudy-night","08534099999,08536099999,LPPT"
"Lisbon","2023-01-01T20:00:00",13.2,13.2,12.2,93.66,0,0,"rain",0,0,12.2,9.6,270,1020,46.9,10,0,0,0,10,"Partially cloudy","partly-cloudy-night","08534099999,08536099999,LPPT"
"Lisbon","2023-01-01T21:00:00",12.3,12.3,12.1,98.87,0,0,"",0,0,15.8,10.2,292,1021.1,35.7,10.8,0,0,0,10,"Partially cloudy","partly-cloudy-night","08534099999,08536099999,LPPT"
"Lisbon","2023-01-01T22:00:00",12,12,11.2,94.58,0,0,"",0,0,15.8,7.2,302,1022,27.9,10,0,0,0,10,"Partially cloudy","partly-cloudy-night","08534099999,08536099999,LPPT"
"Lisbon","2023-01-01T23:00:00",11.7,11.7,10.9,94.57,0,0,"",0,0,16.2,5.1,300,1022,27.9,10,0,0,0,10,"Partially cloudy","partly-cloudy-night","08534099999,08536099999,LPPT"
