name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Lisbon,2023-12-01T00:00:00,10.2,10.2,9,92.53,0,0,,0,0,16.6,4,15,1003.6,38.9,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-12-01T01:00:00,10.6,10.6,9.2,91.03,0,0,,0,0,15.8,2.5,346,1003,30.3,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08532099999,08534099999,D7126,08536099999,LPPT"
Lisbon,2023-12-01T02:00:00,11.2,11.2,8.2,81.98,0,0,,0,0,11.2,7.8,283,1004,51.8,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08532099999,08534099999,D7126,08536099999,LPPT"
Lisbon,2023-12-01T03:00:00,11.1,11.1,8.1,81.76,0,0,,0,0,16.6,8.8,280,1004.1,49.5,10.3,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-12-01T04:00:00,10.7,10.7,8.2,84.08,0,0,,0,0,19.8,8.4,279,1005,27.5,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-12-01T05:00:00,10.3,10.3,8.2,86.49,0,0,,0,0,11.9,5.7,275,1004.8,27.9,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-12-01T06:00:00,9.8,8.7,8.4,91.43,0,0,,0,0,6.1,8.3,247,1005.1,38.9,10.8,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-12-01T07:00:00,10.3,10.3,8,85.57,0,0,,0,0,7.6,7.7,233,1006,36.3,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-12-01T08:00:00,10.3,10.3,8.6,88.98,0,0,,0,0,8.6,9.5,223,1006,38.5,9.6,11,0,0,,Partially cloudy,partly-cloudy-day,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-12-01T09:00:00,11.6,11.6,9.6,87.53,16,100,rain,0,0,12.6,7.5,266,1007,35.7,11.6,116,0.4,1,,"Rain, Partially cloudy",rain,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-12-01T10:00:00,13.4,13.4,9.6,77.58,0,0,,0,0,21.2,12.9,293,1008,39.4,10,316,1.1,3,,Partially cloudy,partly-cloudy-day,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-12-01T11:00:00,14.2,14.2,8.7,69.87,0,0,,0,0,29.2,16.1,306,1008,31,10,446,1.6,4,,Partially cloudy,partly-cloudy-day,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-12-01T12:00:00,14.5,14.5,7.9,64.67,0,0,,0,0,29.2,17.5,307,1009,31,11.6,369,1.3,4,,Partially cloudy,partly-cloudy-day,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-12-01T13:00:00,12.2,12.2,9.1,81.36,0,0,,0,0,61.2,20.1,314,1008.8,57.7,9.6,496,1.8,5,,Partially cloudy,partly-cloudy-day,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-12-01T14:00:00,13.6,13.6,8.9,73.07,0,0,,0,0,28.4,12.2,306,1009,31,10,411,1.5,4,,Partially cloudy,partly-cloudy-day,"08534099999,D7126,08536099999,LPPT"
