"datetime","temp","dew","humidity","windgust","windspeed","winddir","sealevelpressure","cloudcover","solarradiation","solarenergy","conditions","stations"
"2023-01-01T00:00:00",17,15,87.75,27,22.5,185,1020.1,37.3,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-01T01:00:00",17,14.9,87.13,29.2,22.3,178,1020,27.9,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-01T02:00:00",16.2,14.9,91.92,31,22.6,178,1019,27.9,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-01T03:00:00",17.1,14.8,86.35,34.2,22.8,177,1019,37.3,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-01T04:00:00",17.2,14,81.69,34.9,26.2,178,1018.8,27.9,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-01T05:00:00",17,14.9,87.13,35.6,25.9,178,1018,27.9,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-01T06:00:00",17.1,14.7,86,35.6,26.4,180,1018.1,32.6,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-01T07:00:00",17.2,14.7,85.4,36.4,23.2,178,1018,27.9,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-01T08:00:00",17.2,14.9,86.27,36.4,23.5,170,1018,27.9,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-01T09:00:00",17.1,15.9,92.91,37.4,24.3,178,1018.1,37.3,12,0,"Rain, Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-01T10:00:00",18,16,88.1,42.8,24.4,188,1018,27.9,26,0.1,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-01T11:00:00",18.2,16,87.24,55.8,32.6,198,1018,79.7,54,0.2,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-01T12:00:00",18.1,16.1,87.84,51.5,36.7,190,1018,90.7,73,0.3,"Overcast","08534099999,08536099999,LPPT"
"2023-01-01T13:00:00",18,17,93.88,49.7,35.3,190,1017,89.2,49,0.2,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-01T14:00:00",18.2,16.3,89,64.8,38.9,200,1016,89.2,53,0.2,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-01T15:00:00",15,14,93.46,47.2,32.7,222,1016.1,57.9,34,0.1,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-01T16:00:00",15.2,15.2,100,54.4,26.9,228,1016,89.2,5,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-01T17:00:00",15.2,14.3,94.71,57.2,22.3,282,1016.8,56.3,6,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-01T18:00:00",14.1,13.2,94.38,30.2,15.7,297,1018,56.3,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-01T19:00:00",13.2,12.2,93.66,19.4,10.2,310,1019,50,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-01T20:00:00",13.2,12.2,93.66,12.2,9.6,270,1020,46.9,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-01T21:00:00",12.3,12.1,98.87,15.8,10.2,292,1021.1,35.7,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-01T22:00:00",12,11.2,94.58,15.8,7.2,302,1022,27.9,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-01T23:00:00",11.7,10.9,94.57,16.2,5.1,300,1022,27.9,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-02T00:00:00",10.9,10,94.34,9.7,8.8,344,1022.1,27.9,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-02T01:00:00",10.9,10,94.53,7.9,7.6,316,1022,27.9,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-02T02:00:00",9.9,9,94.49,7.2,3.3,353.5,1022.8,27.9,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-02T03:00:00",9.2,9.2,100,7.6,5.9,295,1024,43.7,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-02T04:00:00",10.9,9.2,89.33,8.3,8.5,300,1024,27.9,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-02T05:00:00",9,8.2,94.46,8.6,8.2,280,1024,27.9,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-02T06:00:00",8.8,7.9,94.45,9,2,80,1025,24.7,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-02T07:00:00",8.7,7.9,94.44,7.9,5.1,272,1025,27.9,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-02T08:00:00",8.7,8.7,100,7.6,3.6,306,1025.2,27.9,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-02T09:00:00",8.9,8,94.45,7.6,5.7,26,1026.1,32.6,32,0.1,"Rain, Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-02T10:00:00",11,9.3,89.35,7.9,5.1,360,1027,27.9,134,0.5,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-02T11:00:00",12,9.5,84.52,7.6,10.3,338,1027,27.9,254,0.9,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-02T12:00:00",13.9,9.2,73.14,8.3,8.8,17,1027.1,29.5,361,1.3,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-02T13:00:00",14,9.7,75.24,25.9,7.8,50,1027,27.9,428,1.5,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-02T14:00:00",13.3,9.7,78.67,16.6,8.1,85,1027,46.9,410,1.5,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-02T15:00:00",14.2,9.6,74.09,17.3,8.1,74,1027,27.9,370,1.3,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-02T16:00:00",14.2,8.9,70.37,19.4,4.2,30,1027,46.9,252,0.9,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-02T17:00:00",13,8.2,72.43,20.5,8.7,342,1027,27.9,102,0.4,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-02T18:00:00",12,7.1,71.86,19.4,11.1,333,1028,27.9,5,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-02T19:00:00",11,7,76.36,14,10.9,333,1028,30,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-02T20:00:00",11,7.2,77.18,11.2,10.9,332,1028,0,0,0,"Clear","08534099999,08536099999,LPPT"
"2023-01-02T21:00:00",10.9,7.1,77.58,9.4,10.1,326,1029,0,0,0,"Clear","08534099999,08536099999,LPPT"
"2023-01-02T22:00:00",10.9,7.2,77.99,7.9,10.6,325,1029,0,0,0,"Clear","08534099999,08536099999,LPPT"
"2023-01-02T23:00:00",9.9,7.2,83.37,7.6,5.4,333,1029.8,27.5,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-03T00:00:00",8.7,7,89.07,7.2,5.9,326,1030,23.2,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-03T01:00:00",9.5,7,84.24,6.1,9.1,316,1030,27.9,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-03T02:00:00",8.9,7.2,89.17,5.4,9.1,318,1029.8,27.9,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-03T03:00:00",8.7,7,88.97,5.8,4.2,30,1030,10,0,0,"Clear","08534099999,08536099999,LPPT"
"2023-01-03T04:00:00",7.9,6.2,89.09,5.8,8.5,349,1030,27.9,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-03T05:00:00",7.7,6,89.08,5.8,7.8,340,1029.8,27.9,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-03T06:00:00",6.7,5.9,94.36,6.5,4.6,90,1030,24.7,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-03T07:00:00",7.5,5.9,89.07,7.9,5.1,355,1030.8,27.5,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-03T08:00:00",7.3,5.7,89.21,7.6,7.3,359,1031,27.6,0,0,"Partially cloudy","08532099999,08534099999,08536099999,LPPT"
"2023-01-03T09:00:00",8.3,6.7,89.25,7.2,4.1,68,1032,24.2,46,0.2,"Partially cloudy","08532099999,08534099999,08536099999,LPPT"
"2023-01-03T10:00:00",11,7.6,79.17,7.6,2.5,43,1032.4,25.4,203,0.7,"Partially cloudy","08532099999,08534099999,08536099999,LPPT"
"2023-01-03T11:00:00",11.8,8.2,78.58,9,3.7,60,1033.2,25.4,318,1.1,"Partially cloudy","08532099999,08534099999,08536099999,LPPT"
"2023-01-03T12:00:00",12.9,7.9,71.76,27.7,9.1,66,1033,24.2,428,1.5,"Partially cloudy","08532099999,08534099999,08536099999,LPPT"
"2023-01-03T13:00:00",13,7.8,70.57,12.6,6.4,24,1032,28,478,1.7,"Partially cloudy","08532099999,08534099999,08536099999,LPPT"
"2023-01-03T14:00:00",14,8.8,70.58,13.7,8.4,64,1031,28,460,1.7,"Partially cloudy","08532099999,08534099999,08536099999,LPPT"
"2023-01-03T15:00:00",14.1,8.7,69.89,15.1,8.5,20,1031.1,24.2,383,1.4,"Partially cloudy","08532099999,08534099999,08536099999,LPPT"
"2023-01-03T16:00:00",14.2,8,66.49,19.1,14.3,14,1031,27.6,259,0.9,"Partially cloudy","08532099999,08534099999,08536099999,LPPT"
"2023-01-03T17:00:00",13,8.2,72.4,20.5,11.8,8,1031,4.3,106,0.4,"Clear","08532099999,08534099999,08536099999,LPPT"
"2023-01-03T18:00:00",11.2,7.2,76.3,20.2,12.4,353,1032,30,5,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-03T19:00:00",10.9,7.2,77.99,15.8,12.1,343,1032,0,0,0,"Clear","08534099999,08536099999,LPPT"
"2023-01-03T20:00:00",10.9,7,77.16,14,13.3,335,1032,0,0,0,"Clear","08534099999,08536099999,LPPT"
"2023-01-03T21:00:00",9.9,7.2,82.94,12.2,11.4,354,1033,30,0,0,"Partially cloudy","08534099999,08536099999,LPPT"
"2023-01-03T22:00:00",8.7,6.2,84.14,11.5,10.6,358,1033,0,0,0,"Clear","08534099999,08536099999,LPPT"
"2023-01-03T23:00:00",8.7,5.2,78.51,10.8,9.6,346,1033,0,0,0,"Clear","08534099999,08536099999,LPPT"
