name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
lisbon,2023-11-01T00:00:00,17,17,16.5,96.6,0,0,,0,0,22.7,16.2,231,1016,79.7,10.8,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-01T01:00:00,17.2,17.2,15.2,88.03,0,0,,0,0,20.2,16.1,242,1015.6,38.5,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-01T02:00:00,17.2,17.2,15,87.14,0,0,,0,0,21.2,16.6,240,1015.4,27.9,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-01T03:00:00,18.1,18.1,15,82.23,0,0,,0,0,25.2,18.3,232,1015.1,59.8,10.8,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-01T04:00:00,18,18,15,82.63,0,0,,0,0,27.7,21.4,222,1015,79.7,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-01T05:00:00,18.2,18.2,15.9,86.37,0,0,,0,0,28.8,22,222,1015,89.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-01T06:00:00,17.8,17.8,16.3,91.45,0,0,,0,0,27,19,228,1015.5,84.4,8.7,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-01T07:00:00,17.3,17.3,16.9,97.06,0,0,,0,0,30.6,14.3,245,1016,89.2,4.5,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-01T08:00:00,17.2,17.2,17,99.01,0,0,,0,0,33.8,10.5,251,1017,72.4,6.1,127,0.5,1,,Partially cloudy,partly-cloudy-day,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-01T09:00:00,17.9,17.9,17.5,97.27,4,100,rain,0,0,38.2,13.2,234,1017.1,84.4,9.1,116,0.4,1,,"Rain, Partially cloudy",rain,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-01T10:00:00,18.2,18.2,17,92.96,0,0,,0,0,37.4,13,243,1017.8,89.2,9.2,213,0.8,2,,Partially cloudy,partly-cloudy-day,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-01T11:00:00,18.4,18.4,17.4,93.9,0,0,,0,0,38.9,18.4,240,1018,89.2,10,171,0.6,2,,Partially cloudy,partly-cloudy-day,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-01T12:00:00,20,20,17.6,85.97,0.3,100,rain,0,0,13,20,244,1017.6,84.4,11.6,114,0.4,1,,"Rain, Partially cloudy",rain,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-01T13:00:00,21,21,17.2,78.69,0,0,,0,0,40.7,26.6,240,1017,50,10,594,2.1,6,,Partially cloudy,partly-cloudy-day,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-01T14:00:00,21,21,17.2,78.69,0,0,,0,0,43.9,29.6,237,1017,82.9,10,264,1,3,,Partially cloudy,partly-cloudy-day,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-01T15:00:00,20.1,20.1,17.1,82.89,0,0,,0,0,43.2,28.1,236,1017,71.5,11.6,104,0.4,1,,Partially cloudy,partly-cloudy-day,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-01T16:00:00,18.5,18.5,17,91,0,0,,0,0,42.8,25,250,1017,50,10,195,0.7,2,,Partially cloudy,partly-cloudy-day,"D7126,08536099999,LPPT"
lisbon,2023-11-01T17:00:00,18.4,18.4,17,91.43,0,0,,0,0,42.5,21.1,239,1017,73.1,10,51,0.2,1,,Partially cloudy,partly-cloudy-day,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-01T18:00:00,19.1,19.1,18,93.2,0.6,100,rain,0,0,27.7,21.3,226,1016.1,87.6,11.6,0,0,0,,"Rain, Partially cloudy",rain,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-01T19:00:00,18.7,18.7,17.6,92.99,0,0,,0,0,33.8,21.4,234,1016,72.4,8.3,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-01T20:00:00,18.6,18.6,17.6,93.91,0,0,,0,0,34.2,17.8,232,1016,73.1,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-01T21:00:00,19.1,19.1,18,93.47,0,0,,0,0,39.6,21.8,226,1016,89.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-01T22:00:00,19.2,19.2,18,93.01,0,0,,0,0,40.3,22.1,230,1015.4,90.7,5.8,0,0,0,,Overcast,cloudy,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-01T23:00:00,18.6,18.6,18,96.43,0,0,,0,0,43.6,25.1,242,1015,90.7,5.2,0,0,0,,Overcast,cloudy,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T00:00:00,18.5,18.5,17.5,94.19,1,100,rain,0,0,42.5,22.1,258,1014.2,73.9,10,0,0,0,,"Rain, Partially cloudy",rain,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T01:00:00,19,19,17.2,89.07,0,0,,0,0,45.4,23.8,236,1013.6,31,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T02:00:00,19.2,19.2,17,87.33,0,0,,0,0,45.4,28.1,240,1013,89.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T03:00:00,19.1,19.1,16.1,82.93,0,0,,0,0,46.4,28.1,240,1011.7,87.6,10.8,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T04:00:00,19.2,19.2,17,87.33,0,0,,0,0,46.1,32.6,240,1011,89.2,9.2,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T05:00:00,18.2,18.2,17,92.96,0,0,,0,0,51.5,32.4,242,1009.7,89.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T06:00:00,19,19,17.5,90.74,0.4,100,rain,0,0,29.5,30.8,239,1010.6,89.2,9.1,0,0,0,,"Rain, Partially cloudy",rain,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T07:00:00,19.2,19.2,18,93.01,0,0,,0,0,57.6,35.5,236,1009.6,89.2,5.5,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T08:00:00,17.7,17.7,16.7,94.1,0,0,,0,0,40.7,23.3,297,1011.3,90.7,4,21,0.1,0,,Overcast,cloudy,"08532099999,08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T09:00:00,17.4,17.4,15.7,89.34,2.392,100,rain,0,0,57.6,17.8,292,1012,88.1,9.8,69,0.2,1,,"Rain, Partially cloudy",rain,"08532099999,08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T10:00:00,18.2,18.2,14.6,79.75,0,0,,0,0,50.4,24.8,272,1011.4,66.2,10,272,1,3,,Partially cloudy,partly-cloudy-day,"08532099999,08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T11:00:00,19.2,19.2,12.6,65.77,0,0,,0,0,50.8,27.3,272,1012,81.6,10,257,0.9,3,,Partially cloudy,partly-cloudy-day,"08532099999,08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T12:00:00,19.1,19.1,12.2,64.2,0,0,,0,0,55.4,33,279,1012.1,87.7,10.8,139,0.5,1,,Partially cloudy,partly-cloudy-day,"08532099999,08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T13:00:00,18.4,18.4,12.3,67.77,0,0,,0,0,55.4,32.5,284,1012,81.6,10,689,2.5,7,,Partially cloudy,partly-cloudy-day,"08532099999,08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T14:00:00,16.5,16.5,12.6,77.76,0,0,,0,0,46.4,27.9,292,1012,50,10,229,0.8,2,,Partially cloudy,partly-cloudy-day,"08532099999,08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T15:00:00,17.1,17.1,11.2,68.53,0,0,,0,0,51.8,24.4,296,1013,52.7,11.6,181,0.7,2,,Partially cloudy,partly-cloudy-day,"08532099999,08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T16:00:00,14.2,14.2,12.2,87.66,0,0,,0,0,44.6,22,313,1013.8,57.6,9.1,37,0.1,0,,Partially cloudy,partly-cloudy-day,"08532099999,08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T17:00:00,13.8,13.8,12,89.22,0,0,,0,0,40.7,15.5,312,1014,83.1,9.8,77,0.3,1,,Partially cloudy,partly-cloudy-day,"08532099999,08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T18:00:00,14.1,14.1,11.6,84.74,0,0,,0,0,27.7,10.7,297,1014.1,44.1,11.6,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T19:00:00,14.2,14.2,11,81.3,0,0,,0,0,29.2,11.5,290,1014.8,39.4,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T20:00:00,14.3,14.3,10.4,77.44,0,0,,0,0,24.5,14.9,266,1015,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T21:00:00,14.2,14.2,10.9,80.63,0,0,,0,0,38.2,10.7,287,1015,54.7,11.6,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T22:00:00,14.2,14.2,11.4,83.6,0,0,,0,0,24.5,13,258,1015,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-02T23:00:00,14,14,11.2,83,0,0,,0,0,22.3,12,266,1015,37.3,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T00:00:00,14.2,14.2,10.9,80.71,0,0,,0,0,20.5,12.4,250,1015,51.6,11.6,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T01:00:00,14,14,11.7,86.23,0,0,,0,0,22,17.2,279,1015,37.3,9.7,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T02:00:00,13.2,13.2,11,86.77,0,0,,0,0,19.8,12.7,286,1015,45.7,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T03:00:00,14.5,14.5,10.6,77.42,0,0,,0,0,20.2,12.4,278,1014.6,44.1,11.6,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T04:00:00,15,15,10.2,72.8,0,0,,0,0,23.8,15.8,284,1015,39.4,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T05:00:00,15,15,11,77,0,0,,0,0,23.8,13.7,280,1014.8,56.3,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T06:00:00,14.2,14.2,10.6,79.15,0,0,,0,0,18.4,14.7,296,1015,50,11.6,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T07:00:00,14.6,14.6,11,79.13,0,0,,0,0,19.1,13.7,268,1015,39.4,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T08:00:00,15.2,15.2,10.6,74.05,0,0,,0,0,21.6,13.2,284,1015.4,50,10,60,0.2,1,,Partially cloudy,partly-cloudy-day,"08532099999,08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T09:00:00,16.1,16.1,11,71.62,2.81,100,rain,0,0,20.9,12.5,282,1016,37.4,10.8,151,0.5,2,,"Rain, Partially cloudy",rain,"08532099999,08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T10:00:00,17.1,17.1,11.5,69.62,0,0,,0,0,18,17.8,295,1016,57.4,10,410,1.5,4,,Partially cloudy,partly-cloudy-day,"08532099999,08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T11:00:00,17.6,17.6,10.2,61.83,0,0,,0,0,32.4,22.5,305,1016,64.7,10,197,0.7,2,,Partially cloudy,partly-cloudy-day,"08532099999,08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T12:00:00,18.1,18.1,10.5,61.36,0,0,,0,0,31,23.7,300,1016,51.1,10.8,181,0.7,2,,Partially cloudy,partly-cloudy-day,"08532099999,08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T13:00:00,18,18,10.2,60.27,0,0,,0,0,44.6,23.6,296,1015,50,10,550,2,6,,Partially cloudy,partly-cloudy-day,"08532099999,08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T14:00:00,17.6,17.6,11.2,66.09,0,0,,0,0,37.1,22.6,299,1015,37.8,10,113,0.4,1,,Partially cloudy,partly-cloudy-day,"08532099999,08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T15:00:00,16.7,16.7,12.3,75.34,0,0,,0,0,34.2,19.3,286,1015.1,72.2,10.8,42,0.2,0,,Partially cloudy,partly-cloudy-day,"08532099999,08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T16:00:00,17,17,11.6,70.66,0,0,,0,0,32,16.6,288,1015,89.2,10,49,0.2,0,,Partially cloudy,partly-cloudy-day,"08532099999,08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T17:00:00,16.6,16.6,12.2,75.21,0,0,,0,0,24.1,16,268,1015,73,10,40,0.1,0,,Partially cloudy,partly-cloudy-day,"08532099999,08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T18:00:00,16.2,16.2,12.5,78.93,0,0,,0,0,21.2,13.2,236,1015,47.9,10.8,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T19:00:00,16.2,16.2,13,81.57,0,0,,0,0,21.2,12.2,227,1014.8,73.1,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T20:00:00,16.6,16.6,13.6,82.44,0,0,,0,0,16.9,18.4,253,1014,89.2,8.3,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T21:00:00,15.2,15.2,14.4,94.69,0,0,,0,0,14.8,15.8,239,1014,90.7,9.5,0,0,0,,Overcast,cloudy,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T22:00:00,16.6,16.6,14.6,87.99,0,0,,0,0,23.8,17.7,234,1013.6,89.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-03T23:00:00,17.2,17.2,14,81.69,0,0,,0,0,23.4,21.8,237,1013,89.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-04T00:00:00,17.2,17.2,13.1,76.71,0,0,,0,0,28.8,22.8,242,1012.1,71.5,10.8,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-04T01:00:00,17.6,17.6,14,79.56,0,0,,0,0,38.2,22.3,237,1011,82.9,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-04T02:00:00,18.2,18.2,14.4,78.82,0,0,,0,0,40.3,24.1,230,1010.2,82.9,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-04T03:00:00,18.1,18.1,14.9,81.57,0,0,,0,0,40.7,30.5,232,1009.6,65.5,10.3,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-04T04:00:00,18,18,15,82.63,0,0,,0,0,38.5,26.2,232,1009,73.1,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-04T05:00:00,18.2,18.2,15,81.82,0,0,,0,0,42.8,26.4,232,1008,89.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-04T06:00:00,18.2,18.2,15,81.9,0,0,,0,0,41.4,24.3,230,1007.6,87.6,10.8,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-04T07:00:00,18.2,18.2,16,87.24,0,0,,0,0,45.7,25.9,226,1007,89.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-04T08:00:00,18.2,18.2,16.4,89.6,0,0,,0,0,46.4,26.1,230,1006.6,89.2,4.5,33,0.1,0,,Partially cloudy,partly-cloudy-day,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-04T09:00:00,18.2,18.2,16.9,92.05,0.1,100,rain,0,0,53.6,35,232,1006.1,90.7,6.3,25,0.1,0,,"Rain, Overcast",rain,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-04T10:00:00,19.2,19.2,17,87.33,0,0,,0,0,54.4,35.8,232,1006,89.2,5.7,49,0.2,0,,Partially cloudy,partly-cloudy-day,"08534099999,D7126,08536099999,LPPT"
lisbon,2023-11-04T11:00:00,19.2,19.2,17.4,89.68,0,0,,0,0,53.6,37.5,230,1005.6,89.2,6.8,,,,,Partially cloudy,partly-cloudy-day,"08534099999,08536099999,LPPT"
lisbon,2023-11-04T12:00:00,18.3,18.3,16.6,89.45,0,0,,0,0,58.3,26.7,270,1006,90.7,6.1,,,,,Overcast,cloudy,"08534099999,08536099999,LPPT"
lisbon,2023-11-04T13:00:00,17.7,17.7,16.4,92.02,0,0,,0,0,57.2,23.2,266,1006,89.2,7,,,,,Partially cloudy,partly-cloudy-day,"08534099999,08536099999,LPPT"
lisbon,2023-11-04T14:00:00,18.6,18.6,14.2,75.49,0,0,,0,0,48.2,25.6,277,1006,72.4,9.7,,,,,Partially cloudy,partly-cloudy-day,"08534099999,08536099999,LPPT"
lisbon,2023-11-04T15:00:00,18.7,18.7,12.6,67.98,0,0,,0,0,51.8,26.5,277,1006.5,46.3,10,,,,,Partially cloudy,partly-cloudy-day,"08534099999,08536099999,LPPT"
lisbon,2023-11-04T16:00:00,18.2,18.2,9.7,57.9,0,0,,0,0,42.5,23.5,287,1007,31,10,,,,,Partially cloudy,partly-cloudy-day,"08534099999,08536099999,LPPT"
lisbon,2023-11-04T17:00:00,17.2,17.2,11,67.09,0,0,,0,0,43.6,21.3,277,1007.4,56.2,10,,,,,Partially cloudy,partly-cloudy-day,"08534099999,08536099999,LPPT"
lisbon,2023-11-04T18:00:00,17.1,17.1,10.2,63.7,0,0,,0,0,32.4,17.9,282,1008,29.1,11.6,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
lisbon,2023-11-04T19:00:00,16.6,16.6,9.8,64.42,0,0,,0,0,33.1,17.8,276,1008.4,41.6,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
lisbon,2023-11-04T20:00:00,16.6,16.6,10.2,65.8,0,0,,0,0,27.4,15.3,284,1009,31,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
lisbon,2023-11-04T21:00:00,16.2,16.2,9.6,65.09,0,0,,0,0,27,13.8,273,1009.1,41,11.6,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
lisbon,2023-11-04T22:00:00,16.2,16.2,10,66.89,0,0,,0,0,28.1,11.9,267,1010,39.4,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
lisbon,2023-11-04T23:00:00,15.3,15.3,10,70.6,0,0,,0,0,26.6,18,262,1010,31,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T00:00:00,15.1,15.1,10.6,74.65,0,0,,0,0,24.1,11.5,245,1010.5,57.8,11.6,,,,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T01:00:00,15.3,15.3,11,75.46,0,0,,0,0,37.1,14.2,273,1011,31,10,,,,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T02:00:00,15.2,15.2,11,76.23,0,0,,0,0,22.3,11.1,276,1011,31,10,,,,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T03:00:00,14.2,14.2,10.9,80.56,0,0,,0,0,19.4,8.8,242,1011.1,31,11.6,,,,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T04:00:00,13.9,13.9,11,82.7,0,0,,0,0,18,9,276,1011.2,37.3,10,,,,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T05:00:00,14.6,14.6,10.6,76.95,0,0,,0,0,16.6,15.2,295,1012,31,10,,,,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T06:00:00,13.8,13.8,10.9,82.54,0,0,,0,0,16.6,13.7,269,1012.5,35.7,11.6,,,,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T07:00:00,14.2,14.2,11,81.3,0,0,,0,0,15.8,11.7,278,1013,31,10,,,,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T08:00:00,14.3,14.3,10.6,78.25,0,0,,0,0,15.1,12.8,262,1013.8,31,10,,,,,Partially cloudy,partly-cloudy-day,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T09:00:00,15.6,15.6,11.3,75.9,0.5,100,rain,0,0,14.4,7.5,269,1015,29.5,10.8,,,,,"Rain, Partially cloudy",rain,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T10:00:00,17.2,17.2,10,62.79,0,0,,0,0,37.1,14.8,285,1015,38.5,10,,,,,Partially cloudy,partly-cloudy-day,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T11:00:00,17.2,17.2,10.4,64.56,0,0,,0,0,27.4,14.5,298,1015,39.4,10,,,,,Partially cloudy,partly-cloudy-day,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T12:00:00,17.5,17.5,9.6,59.79,0,0,,0,0,42.5,18.3,293,1015.1,48.4,11.6,,,,,Partially cloudy,partly-cloudy-day,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T13:00:00,18,18,9,55.66,0,0,,0,0,27.4,15.3,282,1015,50,10,,,,,Partially cloudy,partly-cloudy-day,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T14:00:00,17.7,17.7,10.4,62.26,0,0,,0,0,28.1,14,298,1015,50,10,,,,,Partially cloudy,partly-cloudy-day,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T15:00:00,17.3,17.3,8.8,57.63,0,0,,0,0,28.4,17.9,288,1015,32.6,11.6,,,,,Partially cloudy,partly-cloudy-day,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T16:00:00,16.7,16.7,9.5,62.46,0,0,,0,0,33.1,18.4,300,1015.4,36.3,10,,,,,Partially cloudy,partly-cloudy-day,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T17:00:00,14.3,14.3,10.4,77.44,0,0,,0,0,27,15.2,251,1016,50,10,,,,,Partially cloudy,partly-cloudy-day,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T18:00:00,14,14,11.1,82.39,0,0,,0,0,20.9,9,242,1016,50,11.6,,,,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T19:00:00,13.6,13.6,10.6,82.08,0,0,,0,0,22,6,265,1016.8,27.9,10,,,,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T20:00:00,12.7,12.7,10,83.43,0,0,,0,0,15.1,5.7,259,1017,27.9,10,,,,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T21:00:00,12.3,12.3,10.4,88.22,0,0,,0,0,10.8,5.9,255,1017.4,36.3,10,,,,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T22:00:00,12.5,12.5,11,90.75,0,0,,0,0,10.8,8.9,228,1018,41.6,10,,,,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
lisbon,2023-11-05T23:00:00,11.7,11.7,10.2,90.04,0,0,,0,0,10.4,5.3,235,1018,27.9,10,,,,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
lisbon,2023-11-06T00:00:00,12.2,12.2,10.1,87.22,0,0,,0,0,5.8,4.9,238,1018.5,27.9,11.6,,,,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
